document_id,title,document_text,owner,effective_date,last_reviewed,source_url,access_classification,document_version,intent
DOC-REG-001,Add and Drop Period,"Students may add a full-semester course through the seventh calendar day of the fall or spring term. Students may drop a full-semester course without a transcript notation through the fourteenth calendar day. After the deadline, students should contact Academic Advising to discuss options.",Registrar,2026-01-01,2025-12-15,https://example.edu/registration/add-drop,public,2.0,registration
DOC-REG-002,Course Waitlist Guidance,"A waitlist position does not guarantee enrollment. When a seat opens, eligible students are notified through university email and normally have twenty-four hours to register. Students should verify prerequisites and holds before attempting to enroll.",Registrar,2026-01-05,2025-12-20,https://example.edu/registration/waitlist,public,2.1,registration
DOC-REG-003,Registration Holds,Registration holds may prevent enrollment until the listed requirement is resolved. Students can view active holds in the student portal and should contact the office named on the hold for assistance.,Registrar,2026-01-01,2025-12-18,https://example.edu/registration/holds,public,1.1,registration
DOC-DEG-001,Graduation Credit Requirement,"Undergraduate students must complete the total credits required by their academic program and satisfy all major, general education, residency, and cumulative grade requirements. The official degree audit is the primary planning tool, but students should confirm interpretation with Academic Advising.",Academic Affairs,2026-01-01,2025-12-10,https://example.edu/academics/graduation-requirements,public,3.0,degree_requirements
DOC-DEG-002,Degree Audit Guidance,"The degree audit shows completed, in-progress, and remaining program requirements. Students should review the audit before registration and discuss unexpected results with their academic advisor. The audit is an advising tool and does not replace final graduation review.",Academic Advising,2026-01-01,2025-12-11,https://example.edu/advising/degree-audit,public,1.4,degree_requirements
DOC-DEG-003,Transfer Credit Review,Transfer credit is evaluated after official transcripts are received. Students should consult Academic Advising before selecting courses that depend on pending transfer-credit decisions.,Academic Affairs,2026-01-01,2025-12-01,https://example.edu/academics/transfer-credit,public,1.0,degree_requirements
DOC-AID-001,Financial Aid Enrollment Requirement,Students receiving institutional need-based aid should maintain at least half-time enrollment unless an approved exception is recorded by Financial Aid. Students considering withdrawal should contact Financial Aid before changing enrollment because eligibility may change.,Financial Aid Office,2026-01-01,2025-12-10,https://example.edu/financial-aid/enrollment,public,2.0,financial_aid
DOC-AID-002,Financial Aid Application,Students should complete the required financial aid application each academic year and submit requested verification documents by the published deadlines. Award information appears in the student portal after review.,Financial Aid Office,2026-01-01,2025-12-12,https://example.edu/financial-aid/apply,public,1.3,financial_aid
DOC-AID-003,Dropping Courses and Aid,"Dropping a course may change enrollment status and financial aid eligibility. Students should consult Financial Aid before dropping or withdrawing from courses, especially if the change may reduce enrollment below full-time or half-time status.",Financial Aid Office,2026-01-01,2025-12-10,https://example.edu/financial-aid/course-changes,public,1.2,financial_aid
DOC-ADV-001,Academic Advising Appointments,"Students may schedule advising appointments through the advising portal. Bring a current degree audit, a proposed course list, and questions about prerequisites, transfer credit, graduation requirements, or academic progress.",Academic Advising,2026-01-01,2025-12-11,https://example.edu/advising/appointments,public,1.2,advising
DOC-ADV-002,Changing an Academic Program,"Students considering a change of major or academic program should meet with Academic Advising to discuss requirements, credit impact, and an updated graduation plan before submitting a program-change request.",Academic Advising,2026-01-01,2025-12-13,https://example.edu/advising/change-major,public,1.1,advising
DOC-ADV-003,Prerequisite Questions,"Course prerequisites are listed in the catalog and registration system. Academic Advising can help students understand prerequisite sequences, but exceptions require approval from the appropriate academic department.",Academic Advising,2026-01-01,2025-12-14,https://example.edu/advising/prerequisites,public,1.0,advising
DOC-LIB-001,Library Hours and Access,Library hours vary by academic term and may change during holidays and examination periods. Students should check the current library schedule before visiting. University identification may be required for evening access.,University Library,2026-01-01,2025-12-05,https://example.edu/library/hours,public,1.0,campus_services
DOC-LIB-002,Library Loan Periods,Most print books may be borrowed for twenty-eight days and renewed online if no hold has been placed. Course reserve items have shorter loan periods set by the instructor.,University Library,2026-01-01,2025-12-05,https://example.edu/library/loans,public,1.0,campus_services
DOC-SVC-001,Tutoring and Academic Support,"Peer tutoring and academic support are available for selected courses. Students should use the academic support portal to view subjects, schedules, and appointment options.",Academic Support Center,2026-01-01,2025-12-07,https://example.edu/support/tutoring,public,1.2,campus_services
DOC-SVC-002,Student Wellness Resources,"Students seeking non-emergency wellness support may contact the Student Wellness Center for appointments and referrals. In an immediate emergency, contact local emergency services or campus safety. The assistant should not provide medical diagnosis.",Student Wellness Center,2026-01-01,2025-12-08,https://example.edu/wellness/resources,public,1.0,campus_services
DOC-IT-001,Password Reset Support,"Students who cannot access their university account should use the self-service password reset portal. If identity verification fails, contact the IT Service Desk. Never share passwords or multi-factor authentication codes.",IT Service Desk,2026-01-03,2025-12-18,https://example.edu/it/password-reset,public,3.0,technical_support
DOC-IT-002,Campus Wi-Fi Support,"Students should connect to the secure campus wireless network using their university credentials. If authentication fails, remove the saved network, reconnect, and contact the IT Service Desk if the issue continues.",IT Service Desk,2026-01-03,2025-12-18,https://example.edu/it/wifi,public,1.5,technical_support
DOC-IT-003,IT Service Desk,"The IT Service Desk supports account access, university email, classroom technology, approved software, and student portal issues during published service hours.",IT Service Desk,2026-01-03,2025-12-18,https://example.edu/it/service-desk,public,1.4,technical_support
DOC-EMG-001,Emergency and Campus Safety,"For an immediate threat to life or safety, contact emergency services first and then campus safety when it is safe to do so. The campus assistant must not attempt to manage an emergency conversation as a normal information request.",Campus Safety,2026-01-01,2025-12-20,https://example.edu/safety/emergency,public,2.0,emergency
DOC-BAD-001,Attendance Guidance,Attendance expectations may vary by course. Students should review the syllabus and contact the instructor regarding documented absences.,,2026-01-01,2025-12-01,https://example.edu/policies/attendance,public,0.9,advising
DOC-BAD-002,Internal Escalation Notes,Internal draft notes for staff escalation workflows. This record should not be published to the student-facing assistant.,Support Operations,2026-01-01,2025-12-01,https://example.edu/internal/escalation,confidential,0.9,technical_support
DOC-BAD-003,Incomplete Registration Draft,Draft registration guidance that is not yet approved for release.,Registrar,,2025-12-01,,public,0.1,registration
